product_category_3,ymd,qty
DEF,20210113,73
DEF,20210125,19
DEF,20210128,23
DEF,20210202,31
DEF,20210203,21
DEF,20210205,30
DEF,20210215,32
DEF,20210217,26
DEF,20210222,29
DEF,20210303,27
DEF,20210304,19
DEF,20210305,38
DEF,20210308,52
DEF,20210309,70
DEF,20210312,31
DEF,20210315,28
DEF,20210317,23
DEF,20210329,21
DEF,20210330,35
DEF,20210406,31
DEF,20210407,30
DEF,20210414,22
DEF,20210420,30
DEF,20210422,24
DEF,20210426,21
DEF,20210507,23
DEF,20210511,22
DEF,20210513,24
DEF,20210514,45
DEF,20210524,30
DEF,20210525,44
DEF,20210526,36
DEF,20210601,24
DEF,20210607,42
DEF,20210610,24
DEF,20210621,46
DEF,20210622,27
DEF,20210623,28
DEF,20210624,22
DEF,20210625,33
DEF,20210629,29
DEF,20210630,19
DEF,20210709,49
DEF,20210712,47
DEF,20210715,26
DEF,20210716,39
DEF,20210719,25
DEF,20210726,68
DEF,20210727,26
DEF,20210728,28
DEF,20210729,21
DEF,20210805,24
DEF,20210816,26
DEF,20210823,22
DEF,20210825,31
DEF,20210826,33
DEF,20210903,28
DEF,20210924,38
DEF,20211001,29
DEF,20211005,21
DEF,20211007,35
DEF,20211008,22
DEF,20211011,24
DEF,20211014,60
DEF,20211025,41
DEF,20211102,21
DEF,20211108,34
DEF,20211109,24
DEF,20211111,23
DEF,20211115,33
DEF,20211117,25
DEF,20211122,25
DEF,20211125,43
DEF,20211126,30
DEF,20211203,24
DEF,20211207,28
DEF,20211209,21
DEF,20220111,19
DEF,20220117,29
DEF,20220118,22
DEF,20220125,25
DEF,20220201,34
DEF,20220214,27
DEF,20220221,28
DEF,20220224,29
DEF,20220307,26
DEF,20220308,23
DEF,20220317,23
DEF,20220325,33
DEF,20220329,22
DEF,20220401,38
DEF,20220415,22
DEF,20220418,32
DEF,20220419,26
DEF,20220420,21
DEF,20220425,25
DEF,20220426,19
DEF,20220427,25
DEF,20220509,19
DEF,20220513,32
DEF,20220519,29
DEF,20220524,60
DEF,20220525,22
DEF,20220527,23
DEF,20220530,23
DEF,20220603,32
DEF,20220608,22
DEF,20220613,47
DEF,20220617,31
DEF,20220624,46
DEF,20220630,21
DEF,20220701,29
DEF,20220705,19
DEF,20220706,19
DEF,20220713,27
DEF,20220714,39
DEF,20220721,27
DEF,20220725,36
DEF,20220729,28
DEF,20220808,28
DEF,20220823,21
DEF,20220824,22
DEF,20220825,35
DEF,20220901,37
DEF,20220905,29
DEF,20220906,21
DEF,20220908,41
DEF,20220909,28
DEF,20220912,28
DEF,20220913,30
DEF,20220927,21
DEF,20221003,30
DEF,20221004,21
DEF,20221005,23
DEF,20221011,25
DEF,20221013,31
DEF,20221014,34
DEF,20221017,21
DEF,20221021,36
DEF,20221024,23
DEF,20221027,32
DEF,20221028,24
DEF,20221102,36
DEF,20221110,39
DEF,20221111,38
DEF,20221125,28
DEF,20221130,19
DEF,20221205,25
DEF,20221208,25
DEF,20230127,22
DEF,20230201,42
