product_category_3,ymd,qty
ҳ3,20200714,24
ҳ3,20200721,43
ҳ3,20200722,36
ҳ3,20200728,54
ҳ3,20200804,38
ҳ3,20200807,38
ҳ3,20200819,30
ҳ3,20200820,47
ҳ3,20200826,22
ҳ3,20200902,34
ҳ3,20200907,43
ҳ3,20200908,43
ҳ3,20200909,84
ҳ3,20200915,47
ҳ3,20200917,46
ҳ3,20200918,53
ҳ3,20200924,74
ҳ3,20200925,38
ҳ3,20200930,60
ҳ3,20201001,46
ҳ3,20201002,26
ҳ3,20201005,68
ҳ3,20201007,43
ҳ3,20201014,44
ҳ3,20201015,60
ҳ3,20201019,47
ҳ3,20201020,37
ҳ3,20201022,31
ҳ3,20201023,38
ҳ3,20201026,70
ҳ3,20201027,33
ҳ3,20201102,58
ҳ3,20201105,46
ҳ3,20201110,52
ҳ3,20201112,39
ҳ3,20201117,25
ҳ3,20201118,53
ҳ3,20201124,60
ҳ3,20201127,30
ҳ3,20201130,38
ҳ3,20201202,60
ҳ3,20201203,28
ҳ3,20201204,45
ҳ3,20201207,66
ҳ3,20201208,31
ҳ3,20201210,27
ҳ3,20201214,38
ҳ3,20201215,30
ҳ3,20201229,29
ҳ3,20210106,22
ҳ3,20210107,46
ҳ3,20210108,23
ҳ3,20210112,23
ҳ3,20210113,73
ҳ3,20210125,19
ҳ3,20210128,23
ҳ3,20210202,31
ҳ3,20210203,21
ҳ3,20210205,30
ҳ3,20210215,32
ҳ3,20210217,26
ҳ3,20210222,29
ҳ3,20210303,27
ҳ3,20210304,19
ҳ3,20210305,38
ҳ3,20210308,52
ҳ3,20210309,70
ҳ3,20210312,31
ҳ3,20210315,28
ҳ3,20210317,23
ҳ3,20210329,21
ҳ3,20210330,35
ҳ3,20210406,31
ҳ3,20210407,30
ҳ3,20210414,22
ҳ3,20210420,30
ҳ3,20210422,24
ҳ3,20210426,21
ҳ3,20210507,23
ҳ3,20210511,22
ҳ3,20210513,24
ҳ3,20210514,45
ҳ3,20210524,30
ҳ3,20210525,44
ҳ3,20210526,36
ҳ3,20210601,24
ҳ3,20210607,42
ҳ3,20210610,24
ҳ3,20210621,46
ҳ3,20210622,27
ҳ3,20210623,28
ҳ3,20210624,22
ҳ3,20210625,33
ҳ3,20210629,29
ҳ3,20210630,19
ҳ3,20210709,49
ҳ3,20210712,47
ҳ3,20210715,26
ҳ3,20210716,39
ҳ3,20210719,25
ҳ3,20210726,68
ҳ3,20210727,26
ҳ3,20210728,28
ҳ3,20210729,21
ҳ3,20210805,24
ҳ3,20210816,26
ҳ3,20210823,22
ҳ3,20210825,31
ҳ3,20210826,33
ҳ3,20210903,28
ҳ3,20210924,38
ҳ3,20211001,29
ҳ3,20211005,21
ҳ3,20211007,35
ҳ3,20211008,22
ҳ3,20211011,24
ҳ3,20211014,60
ҳ3,20211025,41
ҳ3,20211102,21
ҳ3,20211108,34
ҳ3,20211109,24
ҳ3,20211111,23
ҳ3,20211115,33
ҳ3,20211117,25
ҳ3,20211122,25
ҳ3,20211125,43
ҳ3,20211126,30
ҳ3,20211203,24
ҳ3,20211207,28
ҳ3,20211209,21
ҳ3,20220111,19
ҳ3,20220117,29
ҳ3,20220118,22
ҳ3,20220125,25
ҳ3,20220201,34
ҳ3,20220214,27
ҳ3,20220221,28
ҳ3,20220224,29
ҳ3,20220307,26
ҳ3,20220308,23
ҳ3,20220317,23
ҳ3,20220325,33
ҳ3,20220329,22
ҳ3,20220401,38
ҳ3,20220415,22
ҳ3,20220418,32
ҳ3,20220419,26
ҳ3,20220420,21
ҳ3,20220425,25
ҳ3,20220426,19
ҳ3,20220427,25
ҳ3,20220509,19
ҳ3,20220513,32
ҳ3,20220519,29
ҳ3,20220524,60
ҳ3,20220525,22
ҳ3,20220527,23
ҳ3,20220530,23
ҳ3,20220603,32
ҳ3,20220608,22
ҳ3,20220613,47
ҳ3,20220617,31
ҳ3,20220624,46
ҳ3,20220630,21
ҳ3,20220701,29
ҳ3,20220705,19
ҳ3,20220706,19
ҳ3,20220713,27
ҳ3,20220714,39
ҳ3,20220721,27
ҳ3,20220725,36
ҳ3,20220729,28
ҳ3,20220808,28
ҳ3,20220823,21
ҳ3,20220824,22
ҳ3,20220825,35
ҳ3,20220901,37
ҳ3,20220905,29
ҳ3,20220906,21
ҳ3,20220908,41
ҳ3,20220909,28
ҳ3,20220912,28
ҳ3,20220913,30
ҳ3,20220927,21
ҳ3,20221003,30
ҳ3,20221004,21
ҳ3,20221005,23
ҳ3,20221011,25
ҳ3,20221013,31
ҳ3,20221014,34
ҳ3,20221017,21
ҳ3,20221021,36
ҳ3,20221024,23
ҳ3,20221027,32
ҳ3,20221028,24
ҳ3,20221102,36
ҳ3,20221110,39
ҳ3,20221111,38
ҳ3,20221125,28
ҳ3,20221130,19
ҳ3,20221205,25
ҳ3,20221208,25
ҳ3,20230127,22
ҳ3,20230201,42
ҳ3,20230202,30
ҳ3,20230207,40
ҳ3,20230208,28
ҳ3,20230210,34
ҳ3,20230213,48
ҳ3,20230214,43
ҳ3,20230215,40
ҳ3,20230222,41
ҳ3,20230227,51
ҳ3,20230301,78
ҳ3,20230302,26
ҳ3,20230303,49
ҳ3,20230306,63
ҳ3,20230307,50
ҳ3,20230308,49
ҳ3,20230309,50
ҳ3,20230314,57
ҳ3,20230315,38
ҳ3,20230316,41
ҳ3,20230320,43
ҳ3,20230323,31
ҳ3,20230330,28
ҳ3,20230331,45
ҳ3,20230403,50
ҳ3,20230406,53
ҳ3,20230410,35
ҳ3,20230412,33
ҳ3,20230413,46
ҳ3,20230425,34
ҳ3,20230426,70
ҳ3,20230427,21
ҳ3,20230508,29
ҳ3,20230509,38
ҳ3,20230511,34
ҳ3,20230522,39
ҳ3,20230523,32
ҳ3,20230525,25
ҳ3,20230529,42
ҳ3,20230530,42
ҳ3,20230531,25
ҳ3,20230605,26
ҳ3,20230609,29
ҳ3,20230612,23
ҳ3,20230614,28
ҳ3,20230615,35
ҳ3,20230623,27
ҳ3,20230627,25
ҳ3,20230630,24
ҳ3,20230704,38
ҳ3,20230706,23
ҳ3,20230707,37
ҳ3,20230712,26
ҳ3,20230714,29
ҳ3,20230718,33
ҳ3,20230719,25
ҳ3,20230720,28
ҳ3,20230728,26
ҳ3,20230802,23
ҳ3,20230822,30
ҳ3,20230825,27
ҳ3,20230829,32
ҳ3,20230904,56
ҳ3,20230908,23
ҳ3,20230914,24
ҳ3,20231006,23
ҳ3,20231010,24
ҳ3,20231018,28
ҳ3,20231019,28
ҳ3,20231023,21
ҳ3,20231027,24
ҳ3,20231113,29
ҳ3,20231124,23
ҳ3,20231201,31
ҳ3,20231204,24
ҳ3,20231208,29
ҳ3,20231211,28
ҳ3,20231214,26
ҳ3,20231226,32
ҳ3,20240109,32
ҳ3,20240110,23
ҳ3,20240111,21
ҳ3,20240112,25
ҳ3,20240115,24
ҳ3,20240118,24
ҳ3,20240216,19
ҳ3,20240219,30
ҳ3,20240227,25
ҳ3,20240307,32
ҳ3,20240319,28
ҳ3,20240326,19
ҳ3,20240401,31
ҳ3,20240408,22
ҳ3,20240415,27
ҳ3,20240418,33
ҳ3,20240424,19
ҳ3,20240508,34
ҳ3,20240510,29
ҳ3,20240527,39
ҳ3,20240528,37
ҳ3,20240529,36
ҳ3,20240530,21
ҳ3,20240613,23
ҳ3,20240626,21
ҳ3,20240627,26
ҳ3,20240628,19
ҳ3,20240705,21
ҳ3,20240719,30
ҳ3,20240726,30
ҳ3,20240730,29
ҳ3,20240801,29
ҳ3,20240808,23
ҳ3,20240819,29
ҳ3,20240826,31
ҳ3,20240827,22
ҳ3,20240905,23
ҳ3,20240910,21
ҳ3,20240912,30
ҳ3,20241008,23
ҳ3,20241011,25
ҳ3,20241015,41
ҳ3,20241021,70
ҳ3,20241022,70
ҳ3,20241023,67
ҳ3,20241024,76
ҳ3,20241029,91
ҳ3,20241030,91
ҳ3,20241101,102
ҳ3,20241106,39
ҳ3,20241107,29
ҳ3,20241112,89
ҳ3,20241113,67
ҳ3,20241114,54
ҳ3,20241118,61
ҳ3,20241119,49
ҳ3,20241121,39
ҳ3,20241128,43
ҳ3,20241129,52
ҳ3,20241203,53
ҳ3,20241204,63
ҳ3,20241205,27
ҳ3,20241206,49
ҳ3,20241209,40
ҳ3,20241210,58
ҳ3,20241211,40
ҳ3,20241212,33
ҳ3,20241213,51
ҳ3,20241216,59
ҳ3,20241217,26
ҳ3,20241219,48
ҳ3,20241224,25
ҳ3,20241227,33
ҳ3,20250106,31
ҳ3,20250109,44
ҳ3,20250115,23
ҳ3,20250116,23
ҳ3,20250117,53
ҳ3,20250120,40
ҳ3,20250121,50
ҳ3,20250122,28
ҳ3,20250123,23
ҳ3,20250206,45
ҳ3,20250212,19
ҳ3,20250214,96
ҳ3,20250220,58
ҳ3,20250221,58
ҳ3,20250225,51
ҳ3,20250226,109
ҳ3,20250227,48
ҳ3,20250228,78
ҳ3,20250303,63
ҳ3,20250304,61
ҳ3,20250305,106
ҳ3,20250306,95
ҳ3,20250307,68
ҳ3,20250311,37
ҳ3,20250312,52
ҳ3,20250317,35
ҳ3,20250319,41
ҳ3,20250321,51
ҳ3,20250324,34
ҳ3,20250325,44
ҳ3,20250327,46
ҳ3,20250331,36
ҳ3,20250402,21
