product_category_3,ymd,qty
ABC,20221125,23
ABC,20221128,35
ABC,20221201,46
ABC,20221206,21
ABC,20221209,32
ABC,20221216,30
ABC,20221227,19
ABC,20230118,19
ABC,20230203,33
ABC,20230207,36
ABC,20230208,25
ABC,20230213,33
ABC,20230214,23
ABC,20230220,34
ABC,20230221,32
ABC,20230303,31
ABC,20230308,26
ABC,20230314,31
ABC,20230315,25
ABC,20230322,35
ABC,20230323,39
ABC,20230324,37
ABC,20230327,41
ABC,20230329,35
ABC,20230330,22
ABC,20230403,21
ABC,20230412,27
ABC,20230413,22
ABC,20230414,35
ABC,20230417,31
ABC,20230418,25
ABC,20230425,27
ABC,20230428,31
ABC,20230508,35
ABC,20230509,34
ABC,20230515,21
ABC,20230516,22
ABC,20230522,27
ABC,20230529,23
ABC,20230602,19
ABC,20230614,21
ABC,20230616,30
ABC,20230619,24
ABC,20230629,35
ABC,20230703,26
ABC,20230705,21
ABC,20230726,36
ABC,20230807,26
ABC,20230818,23
ABC,20230911,22
ABC,20230920,22
ABC,20231011,29
ABC,20231101,31
ABC,20231108,24
ABC,20231109,26
ABC,20231114,25
ABC,20231117,27
ABC,20231122,23
ABC,20231201,22
ABC,20231204,31
ABC,20231206,25
ABC,20231214,19
ABC,20231226,21
ABC,20240213,19
ABC,20240226,42
ABC,20240306,21
ABC,20240314,22
ABC,20240430,19
ABC,20240520,19
ABC,20240521,21
ABC,20240528,60
ABC,20240603,29
ABC,20240701,22
ABC,20240704,32
ABC,20240705,23
ABC,20240918,26
ABC,20240920,21
ABC,20240927,22
ABC,20241024,29
ABC,20241025,43
ABC,20241029,47
ABC,20241030,42
ABC,20241118,31
ABC,20241202,25
ABC,20250218,22
ABC,20250219,23
ABC,20250221,38
ABC,20250226,19
ABC,20250305,40
ABC,20250306,29
ABC,20250311,29
ABC,20250312,25
ABC,20250313,29
ABC,20250327,19
