product_category_3,ymd,qty
ҳ7,20210927,27
ҳ7,20211008,37
ҳ7,20211015,26
ҳ7,20211026,22
ҳ7,20211109,22
ҳ7,20211111,23
ҳ7,20211115,23
ҳ7,20211122,37
ҳ7,20211122,19
ҳ7,20211206,28
ҳ7,20211208,43
ҳ7,20211217,19
ҳ7,20220113,19
ҳ7,20220128,23
ҳ7,20220201,21
ҳ7,20220202,22
ҳ7,20220207,42
ҳ7,20220218,24
ҳ7,20220311,22
ҳ7,20220318,24
ҳ7,20220328,29
ҳ7,20220330,22
ҳ7,20220404,28
ҳ7,20220413,21
ҳ7,20220418,24
ҳ7,20220509,23
ҳ7,20220513,24
ҳ7,20220519,31
ҳ7,20220520,19
ҳ7,20220524,19
ҳ7,20220527,29
ҳ7,20220603,24
ҳ7,20220707,26
ҳ7,20220708,31
ҳ7,20220711,19
ҳ7,20220711,21
ҳ7,20220714,30
ҳ7,20220715,24
ҳ7,20220725,30
ҳ7,20220801,23
ҳ7,20220817,19
ҳ7,20220915,19
ҳ7,20220928,19
ҳ7,20220929,19
ҳ7,20221013,34
ҳ7,20221014,19
ҳ7,20221019,21
ҳ7,20221020,19
ҳ7,20221026,31
ҳ7,20221101,24
ҳ7,20221107,36
ҳ7,20221108,25
ҳ7,20221124,28
ҳ7,20221125,23
ҳ7,20221128,35
ҳ7,20221201,46
ҳ7,20221206,21
ҳ7,20221209,32
ҳ7,20221216,30
ҳ7,20221227,19
ҳ7,20230118,19
ҳ7,20230203,33
ҳ7,20230207,36
ҳ7,20230208,25
ҳ7,20230213,33
ҳ7,20230214,23
ҳ7,20230220,34
ҳ7,20230221,32
ҳ7,20230303,31
ҳ7,20230308,26
ҳ7,20230314,31
ҳ7,20230315,25
ҳ7,20230322,35
ҳ7,20230323,39
ҳ7,20230324,37
ҳ7,20230327,41
ҳ7,20230329,35
ҳ7,20230330,22
ҳ7,20230403,21
ҳ7,20230412,27
ҳ7,20230413,22
ҳ7,20230414,35
ҳ7,20230417,31
ҳ7,20230418,25
ҳ7,20230425,27
ҳ7,20230428,31
ҳ7,20230508,35
ҳ7,20230509,34
ҳ7,20230515,21
ҳ7,20230516,22
ҳ7,20230522,27
ҳ7,20230529,23
ҳ7,20230602,19
ҳ7,20230614,21
ҳ7,20230616,30
ҳ7,20230619,24
ҳ7,20230629,35
ҳ7,20230703,26
ҳ7,20230705,21
ҳ7,20230726,36
ҳ7,20230807,26
ҳ7,20230818,23
ҳ7,20230911,22
ҳ7,20230920,22
ҳ7,20231011,29
ҳ7,20231101,31
ҳ7,20231108,24
ҳ7,20231109,26
ҳ7,20231114,25
ҳ7,20231117,27
ҳ7,20231122,23
ҳ7,20231201,22
ҳ7,20231204,31
ҳ7,20231206,25
ҳ7,20231214,19
ҳ7,20231226,21
ҳ7,20240213,19
ҳ7,20240226,42
ҳ7,20240306,21
ҳ7,20240314,22
ҳ7,20240430,19
ҳ7,20240520,19
ҳ7,20240521,21
ҳ7,20240528,60
ҳ7,20240603,29
ҳ7,20240701,22
ҳ7,20240704,32
ҳ7,20240705,23
ҳ7,20240918,26
ҳ7,20240920,21
ҳ7,20240927,22
ҳ7,20241024,29
ҳ7,20241025,43
ҳ7,20241029,47
ҳ7,20241030,42
ҳ7,20241118,31
ҳ7,20241202,25
ҳ7,20250218,22
ҳ7,20250219,23
ҳ7,20250221,38
ҳ7,20250226,19
ҳ7,20250305,40
ҳ7,20250306,29
ҳ7,20250311,29
ҳ7,20250312,25
ҳ7,20250313,29
ҳ7,20250327,19
