日付,実測値,予測値,予測値下限,予測値上限,効果,効果下限,効果上限,累積実測値,累積予測値,累積予測値下限,累積予測値上限,累積効果,累積効果下限,累積効果上限
date,y,preds,preds_lower,preds_upper,point_effects,point_effects_lower,point_effects_upper,post_cum_y,post_cum_pred,post_cum_pred_lower,post_cum_pred_upper,post_cum_effects,post_cum_effects_lower,post_cum_effects_upper
2017/04/01,206.0,180.3989073206544,-248164.39051167347,248525.1883263148,25.601092679345612,-248319.1883263148,248370.39051167347,,,,,,,
2017/05/01,269.0,202.52449660114306,-115.51049580260766,520.5594890048937,66.47550339885694,-251.55948900489375,384.5104958026077,,,,,,,
2017/06/01,105.0,406.06379112825186,130.62930991542095,681.4982723410827,-301.06379112825186,-576.4982723410827,-25.629309915420947,,,,,,,
2017/07/01,198.0,291.7779217848652,32.088194924943195,551.4676486447872,-93.77792178486521,-353.46764864478723,165.9118050750568,,,,,,,
2017/08/01,111.0,215.4917061711613,-35.959149944539746,466.9425622868623,-104.4917061711613,-355.9425622868623,146.95914994453975,,,,,,,
2017/09/01,159.0,100.03823353490921,-146.33949046366004,346.41595753347843,58.96176646509079,-187.41595753347843,305.33949046366,,,,,,,
2017/10/01,156.0,147.41621538658973,-95.52259941008853,390.355030183268,8.583784613410273,-234.355030183268,251.52259941008853,,,,,,,
2017/11/01,235.0,154.20603979512623,-86.24805558155148,394.660135171804,80.79396020487377,-159.66013517180397,321.2480555815515,,,,,,,
2017/12/01,52.0,134.4471469961373,-104.1279726200257,373.02226661230026,-82.44714699613729,-321.02226661230026,156.1279726200257,,,,,,,
2018/01/01,48.0,152.35868907216317,-84.74609166289142,389.46346980721773,-104.35868907216317,-341.46346980721773,132.74609166289142,,,,,,,
2018/02/01,44.0,59.15417495373876,-176.7689846531135,295.077334560591,-15.15417495373876,-251.077334560591,220.7689846531135,,,,,,,
2018/03/01,87.0,150.91099664128097,-84.04209938843937,385.86409267100134,-63.910996641280974,-298.86409267100134,171.04209938843937,,,,,,,
2018/04/01,161.0,76.73116224567733,-157.41152211003228,310.8738466013869,84.26883775432267,-149.8738466013869,318.41152211003225,,,,,,,
2018/05/01,290.0,119.41519407606174,-114.04052563651166,352.8709137886351,170.58480592393826,-62.87091378863511,404.0405256365117,,,,,,,
2018/06/01,91.0,156.05306827542643,-76.81310897055275,388.91924552140557,-65.05306827542643,-297.91924552140557,167.81310897055275,,,,,,,
2018/07/01,287.0,140.54326300015242,-91.81160528218416,372.898131282489,146.45673699984758,-85.89813128248898,378.81160528218413,,,,,,,
2018/08/01,113.0,201.25813031562197,-30.649203205606028,433.16546383684994,-88.25813031562197,-320.16546383684994,143.64920320560603,,,,,,,
2018/09/01,168.0,186.25518182458455,-45.25728844697247,417.76765209614166,-18.255181824584554,-249.76765209614166,213.25728844697247,,,,,,,
2018/10/01,110.0,259.59873771811874,28.437126034287473,490.76034940194995,-149.59873771811874,-380.76034940194995,81.56287396571253,,,,,,,
2018/11/01,241.0,252.26742074394713,21.419527385462146,483.1153141024321,-11.267420743947127,-242.11531410243208,219.58047261453785,,,,,,,
2018/12/01,168.0,114.75788458028154,-115.80792327053288,345.32369243109594,53.24211541971846,-177.32369243109594,283.8079232705329,,,,,,,
2019/01/01,23.0,65.22150663249957,-165.08937846633611,295.5323917313353,-42.22150663249957,-272.5323917313353,188.08937846633611,,,,,,,
2019/02/01,189.0,60.47153941603062,-169.60791969643148,290.55099852849276,128.52846058396938,-101.55099852849276,358.6079196964315,,,,,,,
2019/03/01,226.0,71.08628545911634,-158.78220946664746,300.9547803848801,154.91371454088366,-74.95478038488011,384.7822094666475,,,,,,,
2019/04/01,272.0,242.4816800363119,12.806221636112156,472.1571384365117,29.5183199636881,-200.15713843651167,259.1937783638879,,,,,,,
2019/05/01,291.0,112.32950968912645,-117.16870729983091,341.82772667808376,178.67049031087356,-50.82772667808376,408.1687072998309,,,,,,,
2019/06/01,169.0,173.6733179299204,-55.66164526953227,403.008281129373,-4.673317929920387,-234.00828112937302,224.66164526953227,,,,,,,
2019/07/01,414.0,173.49331274973758,-55.69084216919694,402.6774676686721,240.50668725026242,11.32253233132792,469.6908421691969,,,,,,,
2019/08/01,128.0,143.5272337718414,-85.51723465000029,372.5717021936831,-15.527233771841395,-244.5717021936831,213.5172346500003,,,,,,,
2019/09/01,242.0,179.80716790999134,-49.10759311202773,408.7219289320104,62.192832090008665,-166.72192893201043,291.10759311202776,,,,,,,
2019/10/01,433.0,256.35827995435784,27.56423881776678,485.15232109094893,176.64172004564216,-52.15232109094893,405.43576118223325,,,,,,,
2019/11/01,418.0,240.11499330557803,11.433549205223244,468.7964374059328,177.88500669442197,-50.79643740593281,406.56645079477676,,,,,,,
2019/12/01,241.0,226.52505792682982,-2.0511545550363053,455.1012704086959,14.474942073170183,-214.10127040869588,243.0511545550363,,,,,,,
2020/01/01,135.0,126.89615518685936,-101.58152476616945,355.3738351398882,8.10384481314064,-220.37383513988817,236.58152476616945,,,,,,,
2020/02/01,355.0,155.64867088513932,-72.7365871004491,384.0339288707277,199.35132911486068,-29.03392887072772,427.7365871004491,,,,,,,
2020/03/01,386.0,147.1327892165719,-81.16563559634355,375.43121402948736,238.8672107834281,10.568785970512636,467.1656355963436,,,,,,,
2020/04/01,185.0,185.5224972242092,-42.6942189952546,413.73921344367295,-0.5224972242091894,-228.73921344367295,227.6942189952546,,,,,,,
2020/05/01,282.0,154.22796543214395,-73.91175238217082,382.3676832464586,127.77203456785605,-100.36768324645863,355.9117523821708,,,,,,,
